Disaster Nbr,Disaster Type,Disaster Name,State,Service Office,Declaration Dt,Declaration FY,Deadline Dt,Rec Created Dt,Declaration Type Cd
10031B,B,Severe Winter Storm and Record Snow - PA ONLY,KY,9050,2/8/05,2005,4/11/05,2/17/05 0:00,P
10032B,B,"Severe Winter Storms, Heavy Rains, and Flooding - PA ONLY",KS,9050,2/8/05,2005,4/11/05,2/17/05 0:00,P
100331,1,Excessive Rain,TX,9050,2/2/05,2005,,2/17/05 0:00,S
100341,1,Excessive Rain and Flash Flooding,TX,9050,2/2/05,2005,,2/17/05 0:00,S
100351,1,Excessive Rain and Flooding,TX,9050,2/2/05,2005,,2/17/05 0:00,S
100361,1,Drought,CO,9050,2/2/05,2005,,2/17/05 0:00,S
100371,1,Excessive Rain,TX,9050,2/2/05,2005,,2/17/05 0:00,S
100381,1,Excessive Rain and Flash Flooding,TX,9050,2/2/05,2005,,2/17/05 0:00,S
100391,1,"Excessive Rain, Hail, High Winds, and a Tornado",TX,9050,2/2/05,2005,,2/17/05 0:00,S
100401,1,"Excessive Rain, Flash Flooding, Flooding, and a Tornado",TX,9050,2/2/05,2005,,2/17/05 0:00,S
100411,1,Hail,TX,9050,2/2/05,2005,,2/17/05 0:00,S
100421,1,"Excessive Rain, Flooding, Hail, and High Winds",TX,9050,2/2/05,2005,,2/17/05 0:00,S
100436,6,Flooding,IL,9050,2/23/05,2005,4/25/05,2/2/05 0:00,A
100446,6,Flooding- EIDL,IL,9050,2/23/05,2005,,2/2/05 0:00,A
100451,1,"Excessive Rain, Flash Flooding, and Flooding",TX,9050,2/2/05,2005,,2/23/05 0:00,S
100461,1,Flash Flooding and Tornadoes,TX,9050,2/2/05,2005,,2/23/05 0:00,S
100471,1,Hail,TX,9050,2/2/05,2005,,2/23/05 0:00,S
100481,1,Excessive Rain,TX,9050,2/2/05,2005,,2/23/05 0:00,S
100491,1,"Excessive Rain, Flash Flooding, Hail, and High Winds",TX,9050,2/2/05,2005,,2/23/05 0:00,S
100501,1,"Excessive Rain, Hail, Flash Flooding, High Winds, Lightning, Tornadoes, Freezes",NY,9050,2/9/05,2005,,2/23/05 0:00,S
100511,1,"Excessive Rain, Flash Flooding, Flooding, High Winds, and Lightning",TX,9050,2/9/05,2005,,2/23/05 0:00,S
100521,1,"Excessive Rain, Flash Flooding, Flooding, High Winds, Lightning, Insect Damage",TX,9050,2/9/05,2005,,2/23/05 0:00,S
100531,1,"Excessive Rain, Hail, High Winds, and a Tornado",TX,9050,2/9/05,2005,,2/23/05 0:00,S
100541,1,"Excessive Rain, Excessive Snow, and Flash Flooding",TX,9050,2/9/05,2005,,2/23/05 0:00,S
100551,1,Drought,CA,9050,2/9/05,2005,,2/23/05 0:00,S
100561,1,Hurricane Ivan,GA,9050,2/9/05,2005,,2/23/05 0:00,S
10057B,B,Strong winter storms,AZ,9050,3/2/05,2005,5/2/05,1/14/05 0:00,A
10058B,B,Strong winter storms- EIDL,AZ,9050,3/2/05,2005,,1/14/05 0:00,A
100591,1,Excessive Rain and flash flooding,TX,9050,2/9/05,2005,,2/25/05 0:00,S
100601,1,"Excessive Rain, Flash Flooding, and Flooding",TX,9050,2/9/05,2005,,2/25/05 0:00,S
100611,1,Excessive Rain and Hail,TX,9050,2/9/05,2005,,2/25/05 0:00,S
100621,1,"Excessive Rain, Flash Flooding, and Flooding",TX,9050,2/9/05,2005,,2/25/05 0:00,S
100631,1,Excessive Rain and Flash Flooding,TX,9050,2/9/05,2005,,2/25/05 0:00,S
100641,1,Excessive Rain,TX,9050,2/9/05,2005,,2/25/05 0:00,S
100651,1,"Excessive Rain, and Flooding followed by dry summer weather, and early frost",WI,9050,2/9/05,2005,,2/25/05 0:00,S
10066C,C,Severe Storms and Tornadoes,LA,9050,3/3/05,2005,5/2/05,2/28/05 0:00,A
10067C,C,Severe Storms and Tornadoes- EIDL,LA,9050,3/3/05,2005,,2/28/05 0:00,A
100688,8,"Tropical Cyclone Olaf, including High Winds, High Surf, and Heavy Rainfall",AS,9050,3/3/05,2005,5/2/05,2/22/05 0:00,P
100698,8,"Tropical Cyclone Olaf, including High Winds, High Surf, and Heavy Rainfall- EIDL",AS,9050,3/3/05,2005,,2/22/05 0:00,P
10070B,B,Severe Storms and Flooding - PA ONLY,AZ,9050,2/17/05,2005,4/18/05,3/8/05 0:00,P
100711,1,Drought,CA,9050,2/24/05,2005,,3/11/05 0:00,S
100721,1,"Excessive Rain, Flooding, Flash Flooding",NY,9050,2/24/05,2005,,3/11/05 0:00,S
100731,1,"Extremely Low Precipitation, unusually warm spring temps. and dry north winds.",CA,9050,2/24/05,2005,,3/11/05 0:00,S
100741,1,"Extreme, Prolonged Heat and subsequent fruit drop.",CA,9050,2/24/05,2005,,3/11/05 0:00,S
100751,1,"Adverse Weather-sporadic rain,high winds,excess heat with unseasonable winds",CA,9050,2/24/05,2005,,3/11/05 0:00,S
100761,1,"Excess Rain, Flooding, Flash Flooding, Hail, High Winds, and Frost",NY,9050,2/28/05,2005,,3/11/05 0:00,S
100771,1,"Storms with Heavy Rains, Lightning, Winds, Tornadoes, and Flooding.",TN,9050,2/28/05,2005,,3/11/05 0:00,S
100786,6,Heavy Rains and Flooding,NV,9050,3/15/05,2005,5/16/05,1/18/05 0:00,A
100796,6,Heavy Rains and Flooding- EIDL,NV,9050,3/15/05,2005,,1/18/05 0:00,A
100806,6,Heavy Rains and Flooding - PA ONLY,NV,9050,3/7/05,2005,5/6/05,3/14/05 0:00,P
10081B,B,Severe Winter Storm - PA ONLY,AK,9050,3/14/05,2005,5/13/05,3/21/05 0:00,P
100821,1,"Excessive Rain, Flash Flooding, and a Tornado",TX,9050,3/7/05,2005,,3/22/05 0:00,S
100831,1,"Excessive Rain, Flash Flooding, Flooding, Hail, High Winds, and Lightning",TX,9050,3/7/05,2005,,3/22/05 0:00,S
100841,1,Excessive Rain,TX,9050,3/7/05,2005,,3/22/05 0:00,S
100851,1,"Excessive Rain, Flash Flooding, High Winds, and Tornadoes",TX,9050,3/7/05,2005,,3/22/05 0:00,S
100861,1,Drought,WY,9050,3/7/05,2005,,3/22/05 0:00,S
100871,1,"Excessive Rain, Flooding, Flash Flooding, Hail, High Winds, Lightning, Low Temps",NY,9050,3/8/05,2005,,3/22/05 0:00,S
100881,1,"Excessive Rain, Flooding",AR,9050,3/11/05,2005,,3/22/05 0:00,S
100891,1,Excessive Rain,TX,9050,3/11/05,2005,,3/22/05 0:00,S
100901,1,Excessive Rain and Excessive Snow,TX,9050,3/15/05,2005,,3/24/05 0:00,S
100911,1,"Excessive Rain and Wet Conditions and a Cold, Wet Spring and Summer",ME,9050,3/15/05,2005,,3/24/05 0:00,S
100921,1,"Storms, with Excessive Rains and Flooding",TN,9050,3/17/05,2005,,3/24/05 0:00,S
100931,1,"Excessive Rain, Flooding",TX,9050,3/18/05,2005,,3/24/05 0:00,S
100941,1,"Excessive Rain, Hail",TX,9050,3/18/05,2005,,3/24/05 0:00,S
100951,1,"Heavy Rains, Snow Melt, resulting in Severe Flooding",NV,9050,3/18/05,2005,,3/24/05 0:00,S
10096C,C,Severe Storms and Tornadoes,GA,9050,4/4/05,2005,6/3/05,3/25/05 0:00,A
10097C,C,Severe Storms and Tornadoes- EIDL,GA,9050,4/4/05,2005,,3/25/05 0:00,A
100981,1,Drought,OR,9050,3/22/05,2005,,4/5/05 0:00,S
100991,1,"Excessive Rain, Flash Flooding",TX,9050,3/22/05,2005,,4/5/05 0:00,S
101001,1,Abnormally Wet Weather Conditions,MA,9050,3/22/05,2005,,4/5/05 0:00,S
101011,1,"Excessive Rain, Flash Flooding",TX,9050,3/22/05,2005,,4/5/05 0:00,S
101021,1,"Excessive Rain, Flash Flooding",TX,9050,3/25/05,2005,,4/5/05 0:00,S
101031,1,"Excessive Rain, Freeze, Excessive Temperatures",TX,9050,3/25/05,2005,,4/5/05 0:00,S
101041,1,"Extreme Weather Conditions:Freezing Rain, Excessive Snow, High Winds, Flooding",OH,9050,3/25/05,2005,,4/7/05 0:00,S
101051,1,Abnormally Wet Weather Pattern,CT,9050,3/25/05,2005,,4/7/05 0:00,S
101061,1,Severe Flooding,UT,9050,3/25/05,2005,,4/7/05 0:00,S
101075,5,Apartment Fire,FL,9050,4/11/05,2005,6/10/05,4/1/05 0:00,A
101085,5,Apartment Fire- EIDL,FL,9050,4/11/05,2005,,4/1/05 0:00,A
10109C,C,Severe Storms and Tornadoes,MS,9050,4/18/05,2005,6/20/05,4/8/05 0:00,A
10110C,C,Severe Storms and Tornadoes- EIDL,MS,9050,4/18/05,2005,,4/8/05 0:00,A
101116,6,Flooding,PA,9050,4/14/05,2005,6/14/05,4/5/05 0:00,P
101126,6,Flooding- EIDL,PA,9050,4/14/05,2005,,4/5/05 0:00,P
101136,6,Severe Storms and Flooding,NJ,9050,4/19/05,2005,6/20/05,4/5/05 0:00,P
101146,6,Severe Storms and Flooding- EIDL,NJ,9050,4/19/05,2005,,4/5/05 0:00,P
101156,6,Severe Storms and Flooding,NY,9050,4/19/05,2005,6/20/05,4/5/05 0:00,P
101166,6, Severe Storms and Flooding- EIDL,NY,9050,4/19/05,2005,,4/5/05 0:00,P
101171,1,"Extreme Weather Conditons: Excessive Rain, Flash Flooding, Flooding",OH,9050,4/14/05,2005,,4/26/05 0:00,S
101181,1,Excessive Rain,TX,9050,4/14/05,2005,,4/26/05 0:00,S
101191,1,"Excessive Rain, Excessive Temperatures, Freeze",TX,9050,4/14/05,2005,,4/26/05 0:00,S
101201,1,Excessive Rain,TX,9050,4/14/05,2005,,4/26/05 0:00,S
101211,1,Excessive Rain,TX,9050,4/14/05,2005,,4/26/05 0:00,S
101221,1,Excessive Rain,TX,9050,4/14/05,2005,,4/26/05 0:00,S
101236,6,"Severe Storms, Flooding, and Tornadoes",FL,9050,4/29/05,2005,6/29/05,4/4/05 0:00,A
101246,6,"Severe Storms, Flooding, and Tornadoes- EIDL",FL,9050,4/29/05,2005,,4/4/05 0:00,A
10125B,B,"Severe Storms, Flooding, Landslides, and Mud and Debris Flows - PA ONLY",CA,9050,4/14/05,2005,6/13/05,2/14/05 0:00,P
10127B,B,Severe Storms and Flooding - PA ONLY,AZ,9050,4/14/05,2005,6/13/05,3/1/05 0:00,P
101281,1,Excessive Rain,TX,9050,4/28/05,2005,,5/10/05 0:00,S
101290,0,Outbreak of Red Tide - 7b2D EIDL,MA,9050,6/14/05,2005,,6/14/05 0:00,G
101300,0,"Closure of Highway 212, Beartooth Highway caused by landslides - 7b2D EIDL",MT,9050,6/23/05,2005,,6/20/05 0:00,G
101310,0,Outbreak of red tide in the waters off Maine - 7b2D EIDL,ME,9050,6/23/05,2005,,6/22/05 0:00,G
10132B,B,Severe Storms and Flooding - PA ONLY,NE,9050,6/23/05,2005,8/22/05,6/30/05 0:00,P
101331,1,"Excessive rain, flash flooding, flooding, hail, high winds, lightning, tornadoes",TX,9050,6/21/05,2005,,6/30/05 0:00,S
10134B,B,"Severe Storms, Flooding, Snow Melt, and Ice Jams - PA ONLY",ME,9050,6/29/05,2005,8/29/05,7/6/05 0:00,P
101358,8,Hurricane Dennis,AL,9050,7/10/05,2005,9/8/05,7/11/05 0:00,P
101368,8,Hurricane Dennis- EIDL,AL,9050,7/10/05,2005,,7/11/05 0:00,P
101378,8,Hurricane Dennis,FL,9050,7/10/05,2005,9/8/05,7/11/05 0:00,P
101388,8,Hurricane Dennis- EIDL,FL,9050,7/10/05,2005,,7/11/05 0:00,P
101396,6,Severe Storms and Flooding,FL,9050,7/13/05,2005,9/12/05,6/30/05 0:00,A
101406,6,Severe Storms and Flooding - EIDL,FL,9050,7/13/05,2005,9/12/05,6/30/05 0:00,A
101416,6,Heavy Rains and Flooding - PA ONLY,ID,9050,7/6/05,2005,9/6/05,7/8/05 0:00,P
101428,8,Hurricane Dennis - PA ONLY,MS,9050,7/10/05,2005,9/8/05,7/15/05 0:00,P
101438,8,Tropical Storm Dennis,GA,9050,7/19/05,2005,9/19/05,7/14/05 0:00,A
101448,8,Tropical Storm Dennis- EIDL,GA,9050,7/19/05,2005,,7/14/05 0:00,A
101456,6,Severe Storms and Flooding,MS,9050,7/22/05,2005,9/20/05,7/19/05 0:00,A
101466,6,Severe Storms and Flooding- EIDL,MS,9050,7/22/05,2005,,7/19/05 0:00,A
101471,1,"Unseasonable High Temperatures, Low Humidity",CA,9050,7/18/05,2005,,8/4/05 0:00,S
101481,1,"Severe Cold, Excessive Moisture, Lack of Snow Cover, etc.",MN,9050,7/18/05,2005,,8/4/05 0:00,S
101491,1,"Excessive Rain, Flash Flooding, Hail, High Winds, Lightning",TX,9050,7/18/05,2005,,8/4/05 0:00,S
101501,1,"Excessive Rain, Flash Flooding, Hail, High Winds, Lightning",TX,9050,7/18/05,2005,,8/4/05 0:00,S
101511,1,"Excessive Rain, Flooding, Hail, High Winds, Lightning, Tornadoes",TX,9050,7/20/05,2005,,8/4/05 0:00,S
101521,1,"Rain, Hailstorms",CA,9050,7/26/05,2005,,8/4/05 0:00,S
101531,1,"Drought, Extreme Heat, High Winds",OK,9050,7/26/05,2005,,8/4/05 0:00,S
101541,1,"Excessive Rain, Flash Flooding, Flooding, Hail, High Winds, Lightning, Tornadoes",TX,9050,7/26/05,2005,,8/9/05 0:00,S
101551,1,Drought,IL,9050,7/27/05,2005,,8/9/05 0:00,S
101561,1,"Drought, High Winds",TX,9050,7/29/05,2005,,8/9/05 0:00,S
101571,1,"Excessive Rain, Flash Flooding, Hail, High Winds, Lightning",TX,9050,7/29/05,2005,,8/9/05 0:00,S
101581,1,"Excessive Rain, Flash Flooding, Flooding, Hail, High Winds, Lightning",TX,9050,7/29/05,2005,,8/9/05 0:00,S
101591,1,"Drought, High Winds, Excessive Temperatures",TX,9050,7/29/05,2005,,8/9/05 0:00,S
10160B,B,"Severe Storms, Flooding, Landslides, and Mud and Debris Flows",CA,9050,8/10/05,2005,10/11/05,8/8/05 0:00,A
10161B,B,"Severe Storms, Flooding, Landslides, and Mud and Debris Flows- EIDL",CA,9050,8/10/05,2005,,8/8/05 0:00,A
101626,6,Flooding and Landslides - PA ONLY,UT,9050,8/1/05,2005,9/30/05,8/11/05 0:00,P
10163B,B,Severe Storm - PA ONLY,SD,9050,7/22/05,2005,9/20/05,8/16/05 0:00,P
10164B,B,"Severe Storms, Flooding, and Ground Saturation - PA ONLY",ND,9050,7/22/05,2005,9/20/05,8/16/05 0:00,P
10165C,C,Tornado,WY,9050,8/22/05,2005,10/21/05,8/23/05 0:00,P
10166C,C,Tornado- EIDL,WY,9050,8/22/05,2005,,8/23/05 0:00,P
101676,6,Severe Storms and Flooding,FL,9050,8/25/05,2005,10/24/05,8/19/05 0:00,A
101686,6,Severe Storms and Flooding- EIDL,FL,9050,8/25/05,2005,,8/19/05 0:00,A
10169B,B,Severe Storms and Flooding,TX,9050,8/29/05,2005,10/28/05,8/23/05 0:00,A
10170B,B,Severe Storms and Flooding- EIDL,TX,9050,8/29/05,2005,,8/23/05 0:00,A
101711,1,"Hot, Dry, Windy Weather; Severe Hail Storm; Rain and Unusually Cool Temperatures",CA,9050,8/12/05,2005,,8/29/05 0:00,S
101721,1,High Winds,TX,9050,8/12/05,2005,,8/29/05 0:00,S
101731,1,"Severe High Temperatures, Low Humidity, Strong Winds",CA,9050,8/18/05,2005,,8/29/05 0:00,S
101741,1,"Rain, Hail",CA,9050,8/22/05,2005,,8/29/05 0:00,S
101751,1,Excessive Rainfall,CA,9050,8/22/05,2005,,8/29/05 0:00,S
101768,8,Hurricane Katrina,LA,9050,8/29/05,2005,4/10/06,8/29/05 0:00,P
101778,8,Hurricane Katrina- EIDL,LA,9050,8/29/05,2005,,8/29/05 0:00,P
101788,8,Hurricane Katrina,MS,9050,8/29/05,2005,4/10/06,8/29/05 0:00,P
101798,8,Hurricane Katrina- EIDL,MS,9050,8/29/05,2005,,8/29/05 0:00,P
101808,8,Hurricane Katrina,AL,9050,8/29/05,2005,3/11/06,8/30/05 0:00,P
101818,8,Hurricane Katrina- EIDL,AL,9050,8/29/05,2005,,8/30/05 0:00,P
101821,1,"Hail, Late Rains",CA,9050,8/22/05,2005,,8/31/05 0:00,S
101831,1,"Unseasonable, Heavy Rainfall",CA,9050,8/22/05,2005,,8/31/05 0:00,S
101841,1,Drought,TX,9050,8/22/05,2005,,8/31/05 0:00,S
101851,1,Unseasonable Rain,CA,9050,8/25/05,2005,,8/31/05 0:00,S
101861,1,"Severe Storms-Hail,High Winds,Lightning,Excessive Rain,Flash Flooding,Flooding",KS,9050,8/25/05,2005,,8/31/05 0:00,S
101871,1,"Excessive Rainfall, Hail, High Winds",MN,9050,8/25/05,2005,,8/31/05 0:00,S
101881,1,Drought,MO,9050,8/23/05,2005,,8/31/05 0:00,S
101898,8,Tropical Storm Cindy - PA ONLY,LA,9050,8/23/05,2005,10/24/05,9/1/05 0:00,P
10190B,B,Severe Storms and Flooding - PA ONLY,KS,9050,8/23/05,2005,10/24/05,9/1/05 0:00,P
101916,6,Severe Storms and Flooding,KY,9050,9/7/05,2005,11/7/05,9/1/05 0:00,A
101926,6,Severe Storms and Flooding- EIDL,KY,9050,9/7/05,2005,,9/1/05 0:00,A
10193C,C,Severe Storms and Tornadoes,GA,9050,9/7/05,2005,11/7/05,9/3/05 0:00,A
10194C,C,Severe Storms and Tornadoes- EIDL,GA,9050,9/7/05,2005,,9/3/05 0:00,A
101951,1,"Heavy Winds, Rains, Cool Temperatures",OR,9050,8/31/05,2005,,9/12/05 0:00,S
101961,1,"Drought, High Winds, Excessive Temperatures",TX,9050,8/31/05,2005,,9/12/05 0:00,S
101971,1,"Drought, High Temperatures",VA,9050,8/31/05,2005,,9/12/05 0:00,S
101988,8,Hurricane Katrina,FL,9050,9/14/05,2005,11/29/05,8/26/05 0:00,A
101998,8,Hurricane Katrina- EIDL,FL,9050,9/14/05,2005,,8/26/05 0:00,A
102001,1,Hurricane Katrina,MS,9050,9/9/05,2005,,9/20/05 0:00,S
102011,1,Drought,IA,9050,9/13/05,2005,,9/20/05 0:00,S
102021,1,Drought,KS,9050,9/13/05,2005,,9/20/05 0:00,S
102038,8,Hurricane Rita,TX,9050,9/24/05,2005,4/10/06,9/25/05 0:00,P
102048,8,Hurricane Rita- EIDL,TX,9050,9/24/05,2005,,9/25/05 0:00,P
102058,8,Hurricane Rita,LA,9050,9/24/05,2005,4/10/06,9/25/05 0:00,P
102068,8,Hurricane Rita- EIDL,LA,9050,9/24/05,2005,,9/25/05 0:00,P
102078,8,Hurricane Rita,FL,9050,10/4/05,2006,12/5/05,9/22/05 0:00,A
102088,8,Hurricane Rita- EIDL,FL,9050,10/4/05,2006,,9/22/05 0:00,A
102096,6,Severe Storms and Flooding,FL,9050,10/4/05,2006,12/5/05,8/19/05 0:00,A
102106,6,Severe Storms and Flooding - EIDL,FL,9050,10/4/05,2006,12/5/05,8/19/05 0:00,A
102110,0,Military Reservist Economic Injury Disaster Loan Program,ZZ,9050,10/1/05,2006,,10/5/05 0:00,M
102126,6,Tropical Storm Tammy - Severe Storms and Flooding,GA,9050,10/20/05,2006,12/19/05,10/12/05 0:00,A
102136,6,Tropical Storm Tammy - Severe Storms and Flooding- EIDL,GA,9050,10/20/05,2006,,10/12/05 0:00,A
102146,6,"Severe Thunderstorm, Torrential Rains & Flooding",KS,9050,10/20/05,2006,12/19/05,10/13/05 0:00,A
102156,6,"Severe Thunderstorm, Torrential Rains & Flooding- EIDL",KS,9050,10/20/05,2006,,10/13/05 0:00,A
102161,1,Drought,TX,9050,9/19/05,2005,,10/19/05 0:00,S
102171,1,Drought,TX,9050,9/19/05,2005,,10/19/05 0:00,S
102181,1,"Drought, High Winds",TX,9050,9/19/05,2005,,10/19/05 0:00,S
102191,1,"Drought, Excessive Temperatures",TX,9050,9/19/05,2005,,10/19/05 0:00,S
102201,1,"Drought, Excessive Temperatures",TX,9050,9/19/05,2005,,10/19/05 0:00,S
102211,1,"Drought, Excessive Heat",OH,9050,9/20/05,2005,,10/19/05 0:00,S
102228,8,Hurricane Wilma,FL,9050,10/24/05,2006,1/31/06,10/24/05 0:00,P
102238,8,Hurricane Wilma- EIDL,FL,9050,10/24/05,2006,,10/24/05 0:00,P
10224F,F,Lake Tahoe Sewage Spill - 7b2D EIDL,CA,9050,10/27/05,2006,,10/25/05 0:00,G
102251,1,"Rain, Wind, Unusually Cool Temperatures",CA,9050,10/4/05,2006,,10/26/05 0:00,S
102261,1,Unseasonably heavy rains,CA,9050,10/4/05,2006,,10/26/05 0:00,S
102271,1,Drought,TX,9050,10/4/05,2006,,10/26/05 0:00,S
102286,6,Severe Storms and Flooding,NH,9050,10/26/05,2006,12/27/05,10/11/05 0:00,P
102296,6,Severe Storms and Flooding- EIDL,NH,9050,10/26/05,2006,,10/11/05 0:00,P
102301,1,"Drought, high winds, and excessive temperatures",TX,9050,10/4/05,2006,,10/27/05 0:00,S
102311,1,Excessive Ongoing Rains,OR,9050,10/18/05,2006,,10/27/05 0:00,S
102321,1,"Drought, high winds, spring frosts, excessive heat, flash flooding, hail, etc.",SD,9050,10/7/05,2006,,10/27/05 0:00,S
102331,1,Flooding,TX,9050,10/18/05,2006,,10/27/05 0:00,S
102341,1,"Excessive Rain, Flash Flooding",TX,9050,10/18/05,2006,,10/27/05 0:00,S
102351,1,"Excessive Rain, Flash Flooding",TX,9050,10/18/05,2006,,10/27/05 0:00,S
102361,1,Fires resulting from lightning,UT,9050,10/7/05,2006,,10/27/05 0:00,S
102371,1,Drought,TX,9050,10/18/05,2006,,10/27/05 0:00,S
102381,1,"Drought, Extremely High Temperatures",AR,9050,10/13/05,2006,,10/26/05 0:00,S
102391,1,Drought,MT,9050,10/4/05,2006,,11/1/05 0:00,S
102406,6,Tropical Storm Tammy,NC,9050,11/4/05,2006,1/3/06,11/1/05 0:00,A
102416,6,Tropical Storm Tammy- EIDL,NC,9050,11/4/05,2006,,11/1/05 0:00,A
102428,8,Hurricane Ophelia,NC,9050,11/4/05,2006,1/3/06,9/15/05 0:00,A
102438,8,Hurricane Ophelia- EIDL,NC,9050,11/4/05,2006,,9/15/05 0:00,A
102441,1,Drought,KY,9050,10/25/05,2006,,11/8/05 0:00,S
10245C,C,Tornado and Severe Storms,IN,9050,11/8/05,2006,1/9/06,11/8/05 0:00,P
10246C,C,Tornado and Severe Storms- EIDL,IN,9050,11/8/05,2006,,11/8/05 0:00,P
102471,1,"Severe weather conditions; including drought, heavy rains, a late freeze, etc.",OR,9050,10/24/05,2006,,11/9/05 0:00,S
102481,1,High winds,TX,9050,10/31/05,2006,,11/9/05 0:00,S
102491,1,Drought,TX,9050,10/24/05,2006,,11/9/05 0:00,S
102501,1,Rain and frost events.,OR,9050,10/24/05,2006,,11/9/05 0:00,S
102511,1,Excessive ongoing rains,OR,9050,10/24/05,2006,,11/9/05 0:00,S
102521,1,"Cool, wet weather",NE,9050,10/24/05,2006,,11/9/05 0:00,S
102531,1,Excessive rain and flooding,TX,9050,10/20/05,2006,,11/9/05 0:00,S
10254C,C,Severe Storms and Tornadoes,KY,9050,11/15/05,2006,1/16/06,11/8/05 0:00,A
10255C,C,Severe Storms and Tornadoes- EIDL,KY,9050,11/15/05,2006,,11/8/05 0:00,A
102566,6,Severe Storms and Flooding,MA,9050,11/10/05,2006,1/9/06,10/13/05 0:00,P
102576,6,Severe Storms and Flooding- EIDL,MA,9050,11/10/05,2006,,10/13/05 0:00,P
102581,1,"Inclement Weather, including Unseasonable Temperatures and Winterkill",WI,9050,10/31/05,2006,,11/15/05 0:00,S
102591,1,"Multiple Disaster Occurrences-Freeze Events, Hail, Diseases, Ongoing Drought",NE,9050,11/3/05,2006,,11/15/05 0:00,S
102601,1,"Multiple Disaster Occurrences-freeze damage,late spring snowstorms,flooding, etc",ND,9050,10/31/05,2006,,11/15/05 0:00,S
102611,1,"Drought, Hurricane Katrina, Hurricane Rita",LA,9050,10/24/05,2006,,11/15/05 0:00,S
10262C,C,Severe Storms and Tornadoes,TN,9050,11/29/05,2006,1/30/06,11/19/05 0:00,A
10263C,C,Severe Storms and Tornadoes- EIDL,TN,9050,11/29/05,2006,,11/19/05 0:00,A
10264B,B,"Severe Storms, Flooding, Landslides, and Mudslides - PA ONLY",PR,9050,11/10/05,2006,1/9/06,11/28/05 0:00,P
102658,8,Hurricane Ophelia - PA ONLY,NC,9050,10/7/05,2006,12/6/05,11/28/05 0:00,P
